Hour,Zone0_t_eft,Zone1_t_eft,Zone2_t_eft,Zone3_t_eft,Zone4_t_eft,Zone5_t_eft,GHX0_t_eft,GHX0_t_mean,GHX0_q_ghe,GHX0_t_exit,GHX1_t_eft,GHX1_t_mean,GHX1_q_ghe,GHX1_t_exit,GHX2_t_eft,GHX2_t_mean,GHX2_q_ghe,GHX2_t_exit
100,5.62215281,5.17676578,4.80259880,4.54447935,4.53351746,3.51884474,3.49530037,5.12217518,3.24081068,6.74904999,5.12217518,5.71661508,1.18415208,6.31105499,5.43920980,5.83123053,0.78092363,6.22325126
101,5.14795524,3.68113480,3.56138470,3.46118281,3.45644410,3.13803513,3.09685675,4.45211596,8.35823092,5.80737516,4.45211596,5.24054299,4.86243162,6.02897002,4.87261037,5.46263509,3.63883365,6.05265980
102,5.28118104,5.78911653,5.63130432,4.41986365,4.41424559,4.01585582,3.83396222,4.74471117,4.31844794,5.65546013,4.74471117,5.34470090,2.84493809,5.94469063,5.06470570,5.52858143,2.19953390,5.99245716
103,5.54226319,6.92752873,6.66869318,5.92674263,5.91516043,5.52623652,5.33902429,5.32097202,-0.08926710,5.30291975,5.32097202,5.54777264,1.12151191,5.77457326,5.44193235,5.65692701,1.06313235,5.87192167
104,5.75467169,7.58984236,7.23986302,6.85505006,6.83327346,6.37470585,6.17523300,5.72514189,-2.01641603,5.27505078,5.72514189,5.73119036,0.02709726,5.73723883,5.72836774,5.78473334,0.25251888,5.84109894
105,5.90510619,7.97769959,7.57446480,7.30300527,7.27906942,6.82726568,6.65002307,5.99458574,-2.90432152,5.33914841,5.99458574,5.86625524,-0.56864787,5.73792473,5.92614281,5.88106433,-0.19974812,5.83598586
106,6.03894178,8.31444821,7.83402068,7.67404291,7.64928864,7.22538847,7.06328235,6.22952291,-3.66868931,5.39576347,6.22952291,5.98738787,-1.06543710,5.74525282,6.10038422,5.96872186,-0.57933772,5.83705950
107,6.17667026,8.67170791,8.15575580,8.09865421,8.06868537,7.66976285,7.53624262,6.47523669,-4.57845509,5.41423077,6.47523669,6.11037414,-1.57445568,5.74551159,6.28064333,6.05784389,-0.96142464,5.83504445
108,6.30575906,8.96706355,8.51356981,8.49341827,8.45697977,8.06675451,7.94863992,6.70028223,-5.31824976,5.45192455,6.70028223,6.22706308,-2.01600685,5.75384393,6.44789869,6.14331377,-1.29759177,5.83872885
109,6.41192981,9.14226007,8.62600575,8.69118436,8.65694550,8.27761851,8.17399107,6.86812294,-5.64559764,5.56225481,6.86812294,6.32810906,-2.33461637,5.78809517,6.58011554,6.21971755,-1.55809150,5.85931956
