Time Step,T1,T2,T3,T4,T5,T6,T7,T8,T9,Tf_ghe1,Tf_ghe2,Tf_ghe3,T_ghe1_ext,T_ghe2_ext,T_ghe3_ext,q_ghe1,q_ghe2,q_ghe3
Units,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,W/m,W/m
47,5.497274285652038,4.567019697670178,3.5299056841380887,3.415205860498704,3.384401419701148,0.492760498682161,-0.1768926679833896,4.868914958023692,5.288108185823378,4.868914958023692,5.654902260148102,5.736321256884793,9.914722584030773,6.440889562272513,6.184534327946206,3.5950829698164766,0.5600073910458472,0.31934693077016063
48,5.469408431410288,4.969681480539396,4.545874996682061,4.18912659668147,4.176563073781484,2.9037637505096687,2.7490173999344547,4.871668708403389,5.269591023126067,4.871668708403387,5.617773048508409,5.69777118373511,6.994320016872323,6.36387738861343,6.125951344344156,3.708458634389061,1.3035099411656899,0.7480684214827766
49,5.452584313016436,4.992867595820005,4.665624239324549,4.219169933827018,4.209587783449852,3.1734423922436585,3.1370252393040583,4.849886778432469,5.242956629786889,4.849886778432469,5.586892749722004,5.692158808135917,6.56274831756088,6.323898721011539,6.141360986484946,3.8825492340751238,1.6705740096161144,1.0182081468075674
50,5.4232789101814864,4.999359850761428,4.722605509032691,4.209800188204154,4.201586900200959,3.304074729727253,3.2866644535740512,4.813216243033034,5.205784765692313,4.813216243033034,5.549282223019181,5.671843646740541,6.3397680324920165,6.285348203005327,6.13790252778877,4.09495447633257,1.9744870108131884,1.250196629004884
51,5.4003435859750555,4.953061331705066,4.694431895882233,4.173881877334262,4.166326343698354,3.314701309926936,3.307818336105658,4.7801822584532045,5.1763413801267815,4.7801822584532045,5.52298061159116,5.656346106944513,6.252546180800751,6.265778964729117,6.1363508337622426,4.224892023246337,2.13143149558394,1.3773552249360754
52,5.357937057525045,4.932677718562067,4.708911337876392,4.145523583614395,4.138876913495568,3.394224276534138,3.3882603102176003,4.733159229901308,5.128344187782866,4.733159229901308,5.47413102592923,5.620328908658964,6.078058149585016,6.215102821957151,6.112313629535063,4.4561529072138715,2.455116570254842,1.6301293072288505
53,5.3543460703115064,4.978943686085488,4.7472472744358445,4.1692379104794135,4.1624755364194,3.3911971903619587,3.37659556908152,4.7267271739159975,5.122871122770842,4.726727173915998,5.469497078018831,5.618888867500834,6.076858778750476,6.2122669821216645,6.114906612230825,4.320837293614637,2.377092640991504,1.5874096732864231
54,4.436698531943496,2.910944518160016,2.8422525902640614,2.633576699186941,2.630853625294417,2.4063023185331707,2.3826844318525264,3.6069766317299785,4.09621223654784,3.606976631729978,4.5242933907634715,4.825825726681389,4.831268831607431,5.441610149796966,5.555439216814937,13.055547950961707,9.782038091054842,7.7804170499988015
55,4.5853206388939824,4.290595497410783,4.209505410697406,3.279310961747991,3.2763698531140752,3.0248736819021964,2.9312042486543084,3.8491464941281803,4.262250157869599,3.8491464941281803,4.62371586364334,4.9545440457789915,4.767088739602053,5.398285233158499,5.646837933688383,8.367167096919108,7.0603040385650155,6.310351951743292
56,4.90463787885187,5.158556807136031,4.937469304302987,4.045587951483191,4.0357768359163675,3.6314833829888054,3.4718797532174643,4.2864035905551745,4.6395006240434915,4.286403590555174,4.94846052834577,5.207651884347158,5.100927427892885,5.610517466136365,5.775803144650826,4.65067888800533,3.7801401040686633,3.2439677641900166
57,5.112321831518589,5.774179537391953,5.415531389619657,4.747036595026704,4.724777034524596,4.1743048405683965,3.9706043203845636,4.618282302180903,4.913459655145323,4.618282302180902,5.1717398389891915,5.339592890230891,5.265960283977243,5.725197375797481,5.765726125316459,2.792806466090117,2.386525142042786,1.837499016196443
58,5.305789261787436,6.518725872150663,6.00756063155356,5.52474014751596,5.494422173107071,4.866648853083094,4.642841607606474,4.947949006144865,5.167096149854048,4.947949006144866,5.358849900599582,5.464295675425593,5.2530564046832575,5.769750795054298,5.761495200997138,1.0542769006963018,1.4198387963527102,1.0269518084745948
59,5.4511836782272445,7.066002326718026,6.43281988753905,6.08526797229703,6.052767472219831,5.443200984784315,5.230400428892839,5.21729770258116,5.361957921215494,5.21729770258116,5.4885356125205345,5.55315597195496,5.204194976269481,5.75977352245991,5.744354022694426,-0.04330113882553362,0.8963714965612837,0.6318603580127942
60,5.57902604443124,7.449924108126444,6.7961957564039714,6.519509841320519,6.481625709127572,5.9095394451268906,5.7409984541063945,5.45876466406283,5.532408813758758,5.45876466406283,5.596847444742696,5.632302879485502,5.1765308740192655,5.734930225422563,5.732196945212245,-0.9515253235715346,0.46553342371155043,0.3367836756854802
61,5.709076266337536,7.799024053360262,7.244470995672548,7.003984773862663,6.959517542399315,6.421851467104661,6.2779450614251,5.7087902170269045,5.706835722417242,5.7087902170269045,5.705125539633789,5.711636887960729,5.13963537262871,5.701460862240673,5.716438053504215,-1.9643427122199306,-0.012648020834148973,0.016570419523494903
62,5.824693981570442,8.366762911147582,7.6656587249406325,7.554664033111564,7.508270665268441,6.93094852551376,6.790764801744959,5.930567899238589,5.861785150799162,5.930567899238589,5.801600245914662,5.782304073880475,5.070370996732221,5.672632592590735,5.702822996961789,-2.7184551145864178,-0.4075727031486772,-0.25118172296701385
63,5.916516720009689,8.398863285545001,7.792169908052739,7.634393962049199,7.606501869808784,7.07033403230964,6.958634057802775,6.088996198503828,5.9793758975301845,6.0889961985038275,5.883458134178245,5.8446776599862655,5.219358339204882,5.677920069852662,5.709979422442348,-3.022117389328822,-0.714274512919753,-0.4680958650093478
64,5.99698569202715,8.476571195412617,7.934858732227571,7.7588213724582635,7.733545986222001,7.226892595829413,7.106804117842546,6.2213752210971665,6.080162675109127,6.221375221097167,5.956601697369592,5.901926282790605,5.335946324351787,5.691828173642017,5.723689890472083,-3.27200010418842,-0.9784399406969994,-0.6586519780188287
65,6.083928361911899,8.678075440719972,8.219295812188872,8.061014196512936,8.028448183190754,7.532586567941201,7.393306364153622,6.375457815744276,6.192380730573427,6.375457815744275,6.032188281048935,5.959982797727297,5.357609267334929,5.688918746353596,5.727584864881167,-3.78807967437447,-1.277530286056317,-0.8649045942609342
66,6.132667024852405,8.704234816701216,8.386625947929605,8.213540922867788,8.1917005629341,7.69980215611267,7.5046463261900085,6.454324902296772,6.252517827510246,6.454324902296772,6.0759366370720365,5.995694678957728,5.404003478403536,5.6975483718473,5.738871530405207,-3.6868061788895643,-1.3282069302926696,-0.9014927710943731
67,5.763418342383708,5.761683701635096,5.37949586499589,4.68754905025173,4.661353820297725,3.977152293559516,3.64363537566751,5.501090799148963,5.680635251370304,5.5010907991489635,5.837736647063977,5.858027589256169,7.358546222630416,6.174382494978992,6.0354199271420335,4.387448969123288,0.7951827320980738,0.4190140017082775
68,5.692274577906622,5.843304256317465,5.491015291844699,4.823636367747349,4.805276570843955,4.164575100258192,3.871155873100755,5.331020953537868,5.565337761071453,5.331020953537868,5.7703649676633395,5.837345225718241,6.790886033974981,6.209708981788811,6.109352690365031,3.7403946609279535,1.1256656705930168,0.6969241761661763
69,5.599580622944899,5.512993015338596,5.214430717404489,4.531857204532085,4.514623456791232,3.9588785062678813,3.7311764004312415,5.1531133641957725,5.43887859855923,5.1531133641957725,5.688923178627254,5.7832400793856635,6.575050327960304,6.224732993058736,6.127601560212097,4.293868515905951,1.6180020291544635,1.0398793746079404
70,5.563730636678352,5.4589800119132414,5.215085698667644,4.521288383433205,4.5118748788274745,3.9500722276833344,3.770399032117586,5.090126168489214,5.390702525310518,5.090126168489213,5.653706837529159,5.761477049670163,6.4098533048608415,6.217287506569105,6.132251574029809,4.122382870634744,1.7604361024648296,1.1581746756304765
71,5.671224835345396,4.532440068117544,3.2011558638496664,3.2011558638496664,3.161348418322639,-0.25304746934769984,-1.1087636173319013,5.1229275366554905,5.493312866902648,5.1229275366554905,5.817400030868908,5.8745527992799635,11.354618690642882,6.511872525082325,6.25579273165728,3.4637510755441645,0.3860075522562443,0.21190399093629178
72,5.652638685654428,4.750558289758107,3.9616787503534985,3.8018552041457214,3.778930518199303,1.5704413998823732,1.2849289624634315,5.0911076207291215,5.474421282367927,5.0911076207291215,5.809820736301882,5.856315717981858,8.89728627899481,6.528533851874642,6.23821015359579,3.5768648268695022,0.6754122427015489,0.3588861419729237
73,5.621485792630422,4.966642080575935,4.4879956351007,4.187994681554306,4.173727576743927,2.756090664679987,2.7029824331253534,5.055181784198061,5.433675001766951,5.055181784198061,5.764856567139729,5.8361266964743885,7.40738113527077,6.4745313500813975,6.238578391181824,3.652290259681345,1.1019211854204816,0.6248919352443029
74,5.605590680733526,4.957330786619732,4.510642534760967,4.192809357539065,4.179643412390742,2.8293614050397555,2.801317340753483,5.02261588967545,5.409109853684344,5.02261588967545,5.747292072192124,5.83014019736116,7.243914438597417,6.4719682547087976,6.251170541037978,3.6927021010226597,1.2047067077224334,0.6999237610109703
